Название магазина,Дата и время,Долгота,Широта,Категория,Бренд,Номер карты,Количество товаров,Стоимость
VAG Club,2017-05-28 11:19,30.22647,59.996275,Автомобильные аксессуары,K&N,5176478126679349,13,4000
Дикси,2014-05-14 12:23,30.315406,59.961436,Безалкогольные напитки,7 Up,5176478126679349,23,90
Babochka,2020-09-09 18:54,29.872112,60.171461,Спортивная одежда,Fila,5176478126679349,29,5000
PisterGSM,2017-02-05 09:38,30.36603,59.932429,Устройства виртуальной и дополненной реальности,Lenovo,4274183006787041,46,28000
Авто Стори,2016-08-27 21:32,30.47283,59.885293,Подвеска и рулевое управление,SKF,4274183006787041,5,13000
StoreDima,2016-09-23 11:39,30.32422,59.929012,Батарейки и зарядные устройства,Bosch,4274183006787041,39,520
Азбука вкуса,2015-11-12 06:02,30.359189,59.931679,Хлеб и выпечка,Славянка,4274183006787041,5,60
Дизель спот,2018-07-29 19:57,30.468788,59.960016,Автомобильные аксессуары,Garmin,4274183006787041,5,12000
Ашан,2014-11-01 15:16,30.513685,59.894625,Фрукты и овощи,NatureSweet,4333162753855185,20,270
Максидом,2017-09-20 21:27,30.267628,59.95185,Садовый декор,Good Directions,4333162753855185,7,24000
Азбука вкуса,2016-04-20 15:18,30.359189,59.931679,Чай и кофе,Jacobs,5488375324396666,5,240
СтройХаус,2023-01-01 08:21,30.409452,60.075356,Строительные материалы,Isover,5488375324396666,9,3700
Дизель спот,2022-12-21 10:51,30.444036,59.950531,Автосигнализации и охранные системы,Zont,4154003779731458,5,24000
Лента,2020-08-18 14:24,30.340722,60.049161,Алкогольные напитки,Baileys,4154003779731458,16,1700
Авто Стори,2023-12-29 17:56,30.47283,59.885293,Электрооборудование,Hitachi,4154003779731458,5,14500
Eurospar,2018-07-19 18:44,30.284029,59.944536,Продукты для спортсменов,RSP Nutrition,4154003779731458,25,2300
Афоня,2014-08-05 12:17,30.179832,59.86322,Изоляционные материалы,Knauf Insulation,4154003779731458,13,1300
DreamWhite,2013-03-19 16:27,30.359178,59.938404,Спортивная одежда,Saucony,5458075747771201,7,6600
Лента,2013-07-25 13:42,30.340722,60.049161,Фрукты и овощи,Green Giant,5536912239637329,6,120
РеалЪ,2013-01-14 14:12,30.391841,59.944115,Масла и жиры,Славянка,5536912239637329,8,135
М.Видео,2019-05-01 21:41,30.335195,60.058204,Телефоны и оборудование для стационарной связи,Motorola,5149084716334636,22,6000
Eurospar,2015-08-23 16:20,30.34903,59.945452,Сладости и десерты,Mars,4023126745359689,8,250
Петрович,2023-10-04 21:36,30.23458,59.996405,Изоляционные материалы,Penoplex,4023126745359689,5,1000
Ситилинк,2017-08-21 18:38,30.342154,59.836205,Сетевые сервисы и подписки,Twilio,4714876850806062,20,10000
Петрович,2018-03-07 20:54,30.156532,59.585724,Герметики и монтажная пена,Ultima,4714876850806062,5,330
М-Стерео,2024-05-08 08:58,30.367216,59.935317,Мониторы,Asus,5536911961610447,5,29000
